Tag,Sampling_tree,Region,Spp,Num
G1-open-upper,Open,Upper,Hymenoptera,4
G1-open-upper,Open,Upper,Diplopoda,3
G1-open-upper,Open,Upper,Araneae,1
G1-open-upper,Open,Upper,Araneae,1
G1-open-upper,Open,Upper,Camponotus,4
G1-open-upper,Open,Upper,Acari,7
G2-loblolly-upper,Loblolly,Upper,Isopoda,3
G2-loblolly-upper,Loblolly,Upper,Acari,12
G1-bay-mid,Bay,Mid,Isopoda,4
G1-bay-mid,Bay,Mid,Acari,16
G1-bay-mid,Bay,Mid,Collembola,4
G2-bay-mid,Bay,Mid,Acari,11
G2-bay-mid,Bay,Mid,Chilopoda,1
G2-bay-mid,Bay,Mid,Coeloptera,1
G2-bay-mid,Bay,Mid,Diplopoda,1
G1-Tulip-low,Tulip-poplar,Low,Acari,6
G1-Tulip-low,Tulip-poplar,Low,Chilopoda,1
G1-Tulip-low,Tulip-poplar,Low,Chilopoda,6
G1-Loblolly-High,Loblolly,Upper,Acari,35
G1-Loblolly-High,Loblolly,Upper,Coeloptera,1
G1-Loblolly-High,Loblolly,Upper,Collembola,4
G1-open-mid,Open,Mid,Acari,2
G1-open-mid,Open,Mid,Coeloptera,9
G1-open-mid,Open,Mid,Isopoda,1
G1-open-mid,Open,Mid,Hymenoptera,1
G1-open-mid,Open,Mid,Hymenoptera,1
G1-open-mid,Open,Mid,Chilopoda,1
G3-open-low,Open,Mid,Acari,62
G3-open-low,Open,Mid,Isopoda,19
G3-open-low,Open,Mid,Hymenoptera,21
G1-oak-mid,Oak,Mid,Camponotus,2
G1-oak-mid,Oak,Mid,Araneae,2
G1-oak-mid,Oak,Mid,Acari,4
G1-oak-mid,Oak,Mid,Araneae,1
G1-oak-mid,Oak,Mid,Hymenoptera,8
G1-loblolly-mid,Loblolly,Mid,Acari,23
G1-loblolly-mid,Loblolly,Mid,Diplopoda,2
G1-loblolly-mid,Loblolly,Mid,Coeloptera,1
G1-bay-low,Bay,Low,Araneae,1
G1-bay-low,Bay,Low,Acari,6
G1-bay-low,Bay,Low,Isopoda,1
G1-bay-low,Bay,Low,Chilopoda,2
G1-open-low,Open,Low,Acari,16
G1-open-low,Open,Low,Isopoda,7
G1-open-low,Open,Low,Hymenoptera,2
G1-open-low,Open,Low,Coeloptera,1
G2-open-low,Open,Low,Isopoda,9
G2-open-low,Open,Low,Acari,10
G2-open-low,Open,Low,Camponotus,1
G3-hickory-mid,Hickory,Mid,Acari,18
G3-hickory-mid,Hickory,Mid,Camponotus,2
G3-hickory-mid,Hickory,Mid,Coeloptera,1
G3-open-upper,Open,Upper,Acari,4
G3-open-upper,Open,Upper,Araneae,1
G3-open-upper,Open,Upper,Diplopoda,3
G3-open-upper,Open,Upper,Hymenoptera,2
G3-loblolly-upper,Loblolly,Upper,Acari,6
G3-loblolly-upper,Loblolly,Upper,Camponotus,1
G3-loblolly-upper,Loblolly,Upper,Isopoda,3
G1-oak-high,Oak,Upper,Acari,16
G1-oak-high,Oak,Upper,Araneae,3
G1-oak-high,Oak,Upper,Coeloptera,2
G1-oak-high,Oak,Upper,Chilopoda,1
G1-oak-high,Oak,Upper,Isopoda,1
G3-sycamore-low,Sycamore,Low,Acari,5
G3-sycamore-low,Sycamore,Low,Isopoda,2
G3-sycamore-low,Sycamore,Low,Coeloptera,1
A-loblolly-mid,Loblolly,Mid,Acari,2
A-loblolly-mid,Loblolly,Mid,Chilopoda,1
T-open-mid,Open,Mid,Acari,7
T-open-mid,Open,Mid,Araneae,3
T-open-mid,Open,Mid,Camponotus,7
T-open-mid,Open,Mid,Hymenoptera,5
T-open-mid,Open,Mid,Isopoda,1
T-oak-upper,Oak,Upper,Acari,16
T-oak-upper,Oak,Upper,Camponotus,2
T-oak-upper,Oak,Upper,Diplopoda,2
T-oak-upper,Oak,Upper,Collembola,4
T-open-upper,Open,Upper,Acari,9
T-open-upper,Open,Upper,Araneae,5
T-open-upper,Open,Upper,Coeloptera,1
T-open-upper,Open,Upper,Chilopoda,2
T-hickory-mid,Hickory,Mid,Acari,16
T-hickory-mid,Hickory,Mid,Diplopoda,2
T-hickory-mid,Hickory,Mid,Isopoda,1
T-hickory-mid,Hickory,Mid,Collembola,3
T-oak-low,Oak,Low,Acari,19
T-oak-low,Oak,Low,Coeloptera,5
T-oak-low,Oak,Low,Isopoda,10
T-open-low,Open,Low,Acari,7
T-open-low,Open,Low,Isopoda,8
T-open-low,Open,Low,Camponotus,7
A-sycamore-low,Sycamore,Low,Acari,6
A-sycamore-low,Sycamore,Low,Isopoda,9
A-sycamore-low,Sycamore,Low,Coeloptera,4
A-open-mid,Open,Mid,Hymenoptera,6
A-open-mid,Open,Mid,Diplopoda,2
A-open-mid,Open,Mid,Acari,7
A-open-mid,Open,Mid,Camponotus,4
A-open-mid,Open,Mid,Chilopoda,1
A-bay-mid,Bay,Mid,Acari,10
A-bay-mid,Bay,Mid,Diplopoda,3
A-bay-mid,Bay,Mid,Araneae,4
A-bay-mid,Bay,Mid,Collembola,3
A-bay-mid,Bay,Mid,Diplopoda,1
A-bay-mid,Bay,Mid,Hymenoptera,4
