"transect_id","bin","Tree_cat","riv"
1,0,"hardwood",1
1,0,"pine",0
1,0,"oak",0
1,0,"other",0
1,5,"hardwood",1
1,5,"pine",0
1,5,"oak",0
1,5,"other",0
1,10,"hardwood",0.0166191365916019
1,10,"pine",0.983380863408398
1,10,"oak",0
1,10,"other",0
1,15,"hardwood",1
1,15,"pine",0
1,15,"oak",0
1,15,"other",0
1,20,"hardwood",0
1,20,"pine",0
1,20,"oak",0
1,20,"other",0
1,25,"hardwood",0
1,25,"pine",1
1,25,"oak",0
1,25,"other",0
1,30,"hardwood",0
1,30,"pine",0
1,30,"oak",1
1,30,"other",0
1,35,"hardwood",0
1,35,"pine",0
1,35,"oak",0
1,35,"other",0
2,0,"hardwood",1
2,0,"pine",0
2,0,"oak",0
2,0,"other",0
2,5,"hardwood",0
2,5,"pine",0
2,5,"oak",0
2,5,"other",1
2,10,"hardwood",0.0898959881129272
2,10,"pine",0
2,10,"oak",0.910104011887073
2,10,"other",0
2,15,"hardwood",0
2,15,"pine",0
2,15,"oak",0
2,15,"other",0
2,20,"hardwood",0
2,20,"pine",0
2,20,"oak",0
2,20,"other",0
2,25,"hardwood",0
2,25,"pine",0
2,25,"oak",1
2,25,"other",0
2,30,"hardwood",0
2,30,"pine",0
2,30,"oak",0
2,30,"other",0
2,35,"hardwood",0
2,35,"pine",0
2,35,"oak",0
2,35,"other",0
3,0,"hardwood",0.668372569089048
3,0,"pine",0
3,0,"oak",0.331627430910952
3,0,"other",0
3,5,"hardwood",0.918772563176895
3,5,"pine",0
3,5,"oak",0
3,5,"other",0.0812274368231047
3,10,"hardwood",0
3,10,"pine",0
3,10,"oak",0
3,10,"other",0
3,15,"hardwood",0.532448377581121
3,15,"pine",0
3,15,"oak",0.467551622418879
3,15,"other",0
3,20,"hardwood",1
3,20,"pine",0
3,20,"oak",0
3,20,"other",0
3,25,"hardwood",0
3,25,"pine",0.851477564008132
3,25,"oak",0.148522435991868
3,25,"other",0
3,30,"hardwood",0
3,30,"pine",0
3,30,"oak",1
3,30,"other",0
3,35,"hardwood",0
3,35,"pine",0
3,35,"oak",0
3,35,"other",0
