"transect_id","Subregion","riv","Tree_cat"
1,"bog",1,"hardwood"
1,"dryhill",0.471231601605678,"hardwood"
1,"dryhill",0.156437256384897,"oak"
1,"dryhill",0.372331142009425,"pine"
1,"slope",0.0965760231276538,"hardwood"
1,"slope",0.903423976872346,"pine"
2,"bog",0.812743823146944,"hardwood"
2,"bog",0.187256176853056,"other"
2,"dryhill",1,"oak"
2,"slope",0.0898959881129272,"hardwood"
2,"slope",0.910104011887073,"oak"
3,"bog",0.668372569089048,"hardwood"
3,"bog",0.331627430910952,"oak"
3,"dryhill",0.0199497398818446,"hardwood"
3,"dryhill",0.342981218587426,"oak"
3,"dryhill",0.637069041530729,"pine"
3,"slope",0.918772563176895,"hardwood"
3,"slope",0.0812274368231047,"other"
