"transect_id","bin","tree_id","riv"
1,0,"sycamore",1
1,0,"dogwood",0
1,0,"hickory",0
1,0,"loblolly",0
1,0,"whiteoak",0
1,0,"poplar",0
1,0,"bay",0
1,0,"wateroak",0
1,5,"sycamore",0
1,5,"dogwood",0.1
1,5,"hickory",0.9
1,5,"loblolly",0
1,5,"whiteoak",0
1,5,"poplar",0
1,5,"bay",0
1,5,"wateroak",0
1,10,"sycamore",0
1,10,"dogwood",0.0166191365916019
1,10,"hickory",0
1,10,"loblolly",0.983380863408398
1,10,"whiteoak",0
1,10,"poplar",0
1,10,"bay",0
1,10,"wateroak",0
1,15,"sycamore",0
1,15,"dogwood",1
1,15,"hickory",0
1,15,"loblolly",0
1,15,"whiteoak",0
1,15,"poplar",0
1,15,"bay",0
1,15,"wateroak",0
1,20,"sycamore",0
1,20,"dogwood",0
1,20,"hickory",0
1,20,"loblolly",0
1,20,"whiteoak",0
1,20,"poplar",0
1,20,"bay",0
1,20,"wateroak",0
1,25,"sycamore",0
1,25,"dogwood",0
1,25,"hickory",0
1,25,"loblolly",1
1,25,"whiteoak",0
1,25,"poplar",0
1,25,"bay",0
1,25,"wateroak",0
1,30,"sycamore",0
1,30,"dogwood",0
1,30,"hickory",0
1,30,"loblolly",0
1,30,"whiteoak",1
1,30,"poplar",0
1,30,"bay",0
1,30,"wateroak",0
1,35,"sycamore",0
1,35,"dogwood",0
1,35,"hickory",0
1,35,"loblolly",0
1,35,"whiteoak",0
1,35,"poplar",0
1,35,"bay",0
1,35,"wateroak",0
2,0,"sycamore",0
2,0,"dogwood",0
2,0,"hickory",0
2,0,"loblolly",0
2,0,"whiteoak",0
2,0,"poplar",1
2,0,"bay",0
2,0,"wateroak",0
2,5,"sycamore",0
2,5,"dogwood",0
2,5,"hickory",0
2,5,"loblolly",0
2,5,"whiteoak",0
2,5,"poplar",0
2,5,"bay",1
2,5,"wateroak",0
2,10,"sycamore",0
2,10,"dogwood",0
2,10,"hickory",0.0898959881129272
2,10,"loblolly",0
2,10,"whiteoak",0
2,10,"poplar",0
2,10,"bay",0
2,10,"wateroak",0.910104011887073
2,15,"sycamore",0
2,15,"dogwood",0
2,15,"hickory",0
2,15,"loblolly",0
2,15,"whiteoak",0
2,15,"poplar",0
2,15,"bay",0
2,15,"wateroak",0
2,20,"sycamore",0
2,20,"dogwood",0
2,20,"hickory",0
2,20,"loblolly",0
2,20,"whiteoak",0
2,20,"poplar",0
2,20,"bay",0
2,20,"wateroak",0
2,25,"sycamore",0
2,25,"dogwood",0
2,25,"hickory",0
2,25,"loblolly",0
2,25,"whiteoak",1
2,25,"poplar",0
2,25,"bay",0
2,25,"wateroak",0
2,30,"sycamore",0
2,30,"dogwood",0
2,30,"hickory",0
2,30,"loblolly",0
2,30,"whiteoak",0
2,30,"poplar",0
2,30,"bay",0
2,30,"wateroak",0
2,35,"sycamore",0
2,35,"dogwood",0
2,35,"hickory",0
2,35,"loblolly",0
2,35,"whiteoak",0
2,35,"poplar",0
2,35,"bay",0
2,35,"wateroak",0
3,0,"sycamore",0.668372569089048
3,0,"dogwood",0
3,0,"hickory",0
3,0,"loblolly",0
3,0,"whiteoak",0
3,0,"poplar",0
3,0,"bay",0
3,0,"wateroak",0.331627430910952
3,5,"sycamore",0
3,5,"dogwood",0
3,5,"hickory",0.918772563176895
3,5,"loblolly",0
3,5,"whiteoak",0
3,5,"poplar",0
3,5,"bay",0.0812274368231047
3,5,"wateroak",0
3,10,"sycamore",0
3,10,"dogwood",0
3,10,"hickory",0
3,10,"loblolly",0
3,10,"whiteoak",0
3,10,"poplar",0
3,10,"bay",0
3,10,"wateroak",0
3,15,"sycamore",0
3,15,"dogwood",0
3,15,"hickory",0.532448377581121
3,15,"loblolly",0
3,15,"whiteoak",0
3,15,"poplar",0
3,15,"bay",0
3,15,"wateroak",0.467551622418879
3,20,"sycamore",0
3,20,"dogwood",0
3,20,"hickory",1
3,20,"loblolly",0
3,20,"whiteoak",0
3,20,"poplar",0
3,20,"bay",0
3,20,"wateroak",0
3,25,"sycamore",0
3,25,"dogwood",0
3,25,"hickory",0
3,25,"loblolly",0.851477564008132
3,25,"whiteoak",0
3,25,"poplar",0
3,25,"bay",0
3,25,"wateroak",0.148522435991868
3,30,"sycamore",0
3,30,"dogwood",0
3,30,"hickory",0
3,30,"loblolly",0
3,30,"whiteoak",0
3,30,"poplar",0
3,30,"bay",0
3,30,"wateroak",1
3,35,"sycamore",0
3,35,"dogwood",0
3,35,"hickory",0
3,35,"loblolly",0
3,35,"whiteoak",0
3,35,"poplar",0
3,35,"bay",0
3,35,"wateroak",0
